"SQUARE","Z..m.","DEPTH","N","Numéro.EBS"
NA,NA,NA,NA,"58966"
NA,NA,NA,NA,"58967"
NA,NA,NA,NA,"58968"
NA,NA,NA,NA,"58969"
NA,NA,NA,NA,"58970"
NA,NA,NA,NA,"58971"
NA,NA,NA,NA,"58972"
NA,NA,NA,NA,"58973"
NA,NA,NA,NA,"58974"
NA,NA,NA,NA,"58975"
NA,NA,NA,NA,"58976"
NA,NA,NA,NA,"58977"
NA,NA,NA,NA,"58978"
NA,NA,NA,NA,"58979"
NA,NA,NA,NA,"58980"
NA,NA,NA,NA,"58981"
NA,NA,NA,NA,"58982"
NA,NA,NA,NA,"58983"
NA,NA,NA,NA,"58984"
NA,NA,NA,NA,"58985"
NA,NA,NA,NA,"58986"
NA,NA,NA,NA,"58987"
NA,NA,NA,NA,"58988"
NA,NA,NA,NA,"58989"
NA,NA,NA,NA,"58990"
NA,NA,NA,NA,"58991"
NA,NA,NA,NA,"58992"
NA,NA,NA,NA,"58993"
NA,NA,NA,NA,"58994"
NA,NA,NA,NA,"58995"
NA,NA,NA,NA,"58996"
NA,NA,NA,NA,"58997"
NA,NA,NA,NA,"58998"
NA,NA,NA,NA,"58999"
NA,NA,NA,NA,"59000"
NA,NA,NA,NA,"59001"
NA,NA,NA,NA,"59002"
NA,NA,NA,NA,"59003"
NA,NA,NA,NA,"59004"
NA,NA,NA,NA,"59005"
NA,NA,NA,NA,"59006"
NA,NA,NA,NA,"59007"
NA,NA,NA,NA,"59008"
NA,NA,NA,NA,"59009"
NA,NA,NA,NA,"59010"
NA,NA,NA,NA,"59011"
NA,NA,NA,NA,"59012"
NA,NA,NA,NA,"59013"
NA,NA,NA,NA,"59014"
NA,NA,NA,NA,"59015"
NA,NA,NA,NA,"59016"
NA,NA,NA,NA,"59017"
NA,NA,NA,NA,"59018"
NA,NA,NA,NA,"59019"
NA,NA,NA,NA,"59020"
NA,NA,NA,NA,"59021"
NA,NA,NA,NA,"59022"
NA,NA,NA,NA,"59023"
NA,NA,NA,NA,"59024"
NA,NA,NA,NA,"59025"
NA,NA,NA,NA,"59026"
NA,NA,NA,NA,"59027"
NA,NA,NA,NA,"59028"
NA,NA,NA,NA,"59029"
NA,NA,NA,NA,"59030"
NA,NA,NA,NA,"59031"
NA,NA,NA,NA,"59032"
NA,NA,NA,NA,"59033"
NA,NA,NA,NA,"59034"
NA,NA,NA,NA,"59035"
NA,NA,NA,NA,"59036"
NA,NA,NA,NA,"59037"
NA,NA,NA,NA,"59038"
NA,NA,NA,NA,"59040"
NA,NA,NA,NA,"59041"
NA,NA,NA,NA,"59042"
NA,NA,NA,NA,"59043"
NA,NA,NA,NA,"59044"
NA,NA,NA,NA,"59045"
NA,NA,NA,NA,"59046"
NA,NA,NA,NA,"59047"
NA,NA,NA,NA,"59048"
NA,NA,NA,NA,"59001"
NA,NA,NA,NA,"59049"
NA,NA,NA,NA,"59050"
NA,NA,NA,NA,"59051"
NA,NA,NA,NA,"59052"
NA,NA,NA,NA,"59053"
NA,NA,NA,NA,"59054"
NA,NA,NA,NA,"59055"
NA,NA,NA,NA,"59056"
NA,NA,NA,NA,"59057"
NA,NA,NA,NA,"59058"
NA,NA,NA,NA,"59059"
NA,NA,NA,NA,"59060"
NA,NA,NA,NA,"59061"
NA,NA,NA,NA,"59062"
NA,NA,NA,NA,"59063"
NA,NA,NA,NA,"59064"
NA,NA,NA,NA,"59065"
NA,NA,NA,NA,"59066"
NA,NA,NA,NA,"59067"
NA,NA,NA,NA,"59068"
NA,NA,NA,NA,"59069"
NA,NA,NA,NA,"59070"
NA,NA,NA,NA,"59071"
NA,NA,NA,NA,"59072"
NA,NA,NA,NA,"59073"
NA,NA,NA,NA,"59074"
NA,NA,NA,NA,"59075"
NA,NA,NA,NA,"59076"
NA,NA,NA,NA,"59077"
NA,NA,NA,NA,"59078"
NA,NA,NA,NA,"59079"
NA,NA,NA,NA,"59080"
NA,NA,NA,NA,"59081"
NA,NA,NA,NA,"59082"
NA,NA,NA,NA,"59083"
NA,NA,NA,NA,"59084"
NA,NA,NA,NA,"59085"
NA,NA,NA,NA,"59086"
NA,NA,NA,NA,"59087"
NA,NA,NA,NA,"59088"
NA,NA,NA,NA,"59089"
NA,NA,NA,NA,"59090"
NA,NA,NA,NA,"59091"
NA,NA,NA,NA,"59092"
NA,NA,NA,NA,"59093"
NA,NA,NA,NA,"59094"
NA,NA,NA,NA,"59095"
NA,NA,NA,NA,"59096"
NA,NA,NA,NA,"59097"
NA,NA,NA,NA,"59098"
NA,NA,NA,NA,"59099"
NA,NA,NA,NA,"59100"
NA,NA,NA,NA,"59101"
NA,NA,NA,NA,"59102"
NA,NA,NA,NA,"59103"
NA,NA,NA,NA,"59104"
NA,NA,NA,NA,"59105"
NA,NA,NA,NA,"59106"
NA,NA,NA,NA,"59107"
NA,NA,NA,NA,"59108"
NA,NA,NA,NA,"59109"
NA,NA,NA,NA,"59110"
NA,NA,NA,NA,"59111"
NA,NA,NA,NA,"59112"
NA,NA,NA,NA,"59113"
NA,NA,NA,NA,"59114"
NA,NA,NA,NA,"59115"
NA,NA,NA,NA,"59116"
NA,NA,NA,NA,"59117"
NA,NA,NA,NA,"59118"
NA,NA,NA,NA,"59119"
NA,NA,NA,NA,"59120"
NA,NA,NA,NA,"59121"
NA,NA,NA,NA,"59122"
NA,NA,NA,NA,"59123"
NA,NA,NA,NA,"59124"
NA,NA,NA,NA,"59125"
NA,NA,NA,NA,"59126"
NA,NA,NA,NA,"59127"
NA,NA,NA,NA,"59128"
NA,NA,NA,NA,"59129"
NA,NA,NA,NA,"59130"
NA,NA,NA,NA,"59131"
NA,NA,NA,NA,"59132"
NA,NA,NA,NA,"59133"
NA,NA,NA,NA,"59134"
NA,NA,NA,NA,"59135"
NA,NA,NA,NA,"59136"
NA,NA,NA,NA,"59137"
NA,NA,NA,NA,"59138"
NA,NA,NA,NA,"59139"
NA,NA,NA,NA,"59140"
NA,NA,NA,NA,"59141"
NA,NA,NA,NA,"59142"
NA,NA,NA,NA,"59143"
NA,NA,NA,NA,"59144"
NA,NA,NA,NA,"59145"
NA,NA,NA,NA,"59146"
NA,NA,NA,NA,"59147"
NA,NA,NA,NA,"59148"
NA,NA,NA,NA,"59149"
NA,NA,NA,NA,"59150"
NA,NA,NA,NA,"59151"
NA,NA,NA,NA,"59152"
NA,NA,NA,NA,"59153"
NA,NA,NA,NA,"59154"
NA,NA,NA,NA,"59155"
NA,NA,NA,NA,"59156"
NA,NA,NA,NA,"59157"
NA,NA,NA,NA,"59158"
NA,NA,NA,NA,"59159"
NA,NA,NA,NA,"59160"
NA,NA,NA,NA,"59161"
NA,NA,NA,NA,"59162"
NA,NA,NA,NA,"59163"
NA,NA,NA,NA,"59164"
NA,NA,NA,NA,"59165"
NA,NA,NA,NA,"59166"
NA,NA,NA,NA,"59167"
NA,NA,NA,NA,"59168"
NA,NA,NA,NA,"59169"
NA,NA,NA,NA,"59170"
NA,NA,NA,NA,"59171"
NA,NA,NA,NA,"59172"
NA,NA,NA,NA,"59172A"
NA,NA,NA,NA,"59173"
NA,NA,NA,NA,"59174"
NA,NA,NA,NA,"59175"
NA,NA,NA,NA,"59176"
NA,NA,NA,NA,"59177"
NA,NA,NA,NA,"59178"
NA,NA,NA,NA,"59178"
NA,NA,NA,NA,"59180"
NA,NA,NA,NA,"59181"
NA,NA,NA,NA,"59182"
NA,NA,NA,NA,"59183"
NA,NA,NA,NA,"59184"
NA,NA,NA,NA,"59185"
NA,NA,NA,NA,"59186"
NA,NA,NA,NA,"59187"
NA,NA,NA,NA,"59188"
NA,NA,NA,NA,"59189"
NA,NA,NA,NA,"59189A"
NA,NA,NA,NA,"59190"
NA,NA,NA,NA,"59191"
NA,NA,NA,NA,"59192"
NA,NA,NA,NA,"59193"
NA,NA,NA,NA,"59194"
NA,NA,NA,NA,"59195"
NA,NA,NA,NA,"59196"
NA,NA,NA,NA,"59197"
NA,NA,NA,NA,"59198"
NA,NA,NA,NA,"59199"
NA,NA,NA,NA,"59200"
NA,NA,NA,NA,"59201"
NA,NA,NA,NA,"59202"
NA,NA,NA,NA,"59203"
NA,NA,NA,NA,"59204"
NA,NA,NA,NA,"59205"
NA,NA,NA,NA,"59206"
NA,NA,NA,NA,"59207"
NA,NA,NA,NA,"59208"
NA,NA,NA,NA,"59209"
NA,NA,NA,NA,"59210"
NA,NA,NA,NA,"59211"
NA,NA,NA,NA,"59212"
NA,NA,NA,NA,"59213"
NA,NA,NA,NA,"59214"
NA,NA,NA,NA,"59215"
NA,NA,NA,NA,"59216"
NA,NA,NA,NA,"59217"
NA,NA,NA,NA,"59218"
NA,NA,NA,NA,"59219"
NA,NA,NA,NA,"59220"
NA,NA,NA,NA,"59221"
NA,NA,NA,NA,"59222"
NA,NA,NA,NA,"59223"
NA,NA,NA,NA,"59224"
NA,NA,NA,NA,"59225"
NA,NA,NA,NA,"59226"
NA,NA,NA,NA,"59227"
NA,NA,NA,NA,"59228"
NA,NA,NA,NA,"59229"
NA,NA,NA,NA,"59230"
NA,NA,NA,NA,"59231"
NA,NA,NA,NA,"59232"
NA,NA,NA,NA,"59233"
NA,NA,NA,NA,"59234"
NA,NA,NA,NA,"59235"
NA,NA,NA,NA,"59236"
NA,NA,NA,NA,"59237"
NA,NA,NA,NA,"59238"
NA,NA,NA,NA,"59239"
NA,NA,NA,NA,"59240"
NA,NA,NA,NA,"59241"
NA,NA,NA,NA,"59242"
NA,NA,NA,NA,"59243"
NA,NA,NA,NA,"59244"
NA,NA,NA,NA,"59245"
NA,NA,NA,NA,"59246"
NA,NA,NA,NA,"59247"
NA,NA,NA,NA,"59248"
NA,NA,NA,NA,"59249"
NA,NA,NA,NA,"59250"
NA,NA,NA,NA,"59251"
NA,NA,NA,NA,"59252"
NA,NA,NA,NA,"59253"
NA,NA,NA,NA,"59254"
NA,NA,NA,NA,"59255"
NA,NA,NA,NA,"59256"
NA,NA,NA,NA,"59257"
NA,NA,NA,NA,"59258"
NA,NA,NA,NA,"59259"
NA,NA,NA,NA,"59260"
NA,NA,NA,NA,"59261"
NA,NA,NA,NA,"59262"
NA,NA,NA,NA,"59263"
NA,NA,NA,NA,"59264"
NA,NA,NA,NA,"59265"
NA,NA,NA,NA,"59266"
NA,NA,NA,NA,"59267"
NA,NA,NA,NA,"59268"
NA,NA,NA,NA,"59269"
NA,NA,NA,NA,"59270"
NA,NA,NA,NA,"59271"
NA,NA,NA,NA,"59272"
NA,NA,NA,NA,"59273"
NA,NA,NA,NA,"59274"
NA,NA,NA,NA,"59275"
NA,NA,NA,NA,"59276"
NA,NA,NA,NA,"59277"
NA,NA,NA,NA,"59278"
NA,NA,NA,NA,"59279"
NA,NA,NA,NA,"59280"
NA,NA,NA,NA,"59281"
NA,NA,NA,NA,"60542"
NA,NA,NA,NA,"60543"
NA,NA,NA,NA,"60544"
NA,NA,NA,NA,"60545"
NA,NA,NA,NA,"60546"
NA,NA,NA,NA,"60546"
NA,NA,NA,NA,"60547"
"H-I",-1.5,NA,3,"60548"
"G",-1.6,114,NA,"60549"
"G",-1.65,119,NA,"60550"
"H-I",-1.7,NA,3,"60551"
"D-E",-1.81,NA,NA,"60552"
"N",-1.83,NA,NA,"60553"
"H-I",-1.89,NA,4,"60554"
"N",-1.27,80,2,"60555"
NA,NA,NA,NA,"60556"
